mukey,pm_dom,comppct_dom,n_pm
67424,"colluvium derived from granite and granodiorite, or glacial till mixed with volcanic ash and loess",80,1
67444,volcanic ash,40,2
67445,colluvium and residuum from serpentinite mixed with volcanic ash and loess,90,1
67450,volcanic ash mixed with colluvium derived from granodiorite,40,2
67465,volcanic ash over colluvium and residuum from granitic rocks,80,1
67519,"colluvium from rhyolite or granodiorite, mixed with volcanic ash and pumice",80,1
67548,"colluvium from rhyolite or granodiorite, mixed with volcanic ash and pumice",55,1
67599,colluvium from schist and gneiss mixed with volcanic ash and loess,35,2
67617,residuum and colluvium from sandstone mixed with volcanic ash and loess,75,1
67619,residuum and colluvium from sandstone mixed with volcanic ash and loess,50,2
67627,volcanic ash and loess mixed with colluvium and residuum derived from igneous and metamorphic rock,35,2
67650,colluvium from schist and gneiss with a mantle of volcanic ash,75,1
67665,volcanic ash and pumice over colluvium from granodiorite or rhyolite,85,1
67702,"admixture of volcanic ash, organic material and pumice over rubble material",75,1
67753,volcanic ash and pumice over glacial till,40,1
67759,volcanic ash and pumice over glacial till,35,1
67770,volcanic ash mixed with colluvium from granite and granodiorite,60,1
67787,volcanic ash over residuum and colluvium from sandstone,60,2
67807,residuum and colluvium weathered from schist mixed with volcanic ash and loess,85,1
67813,"residuum, colluvium and alluvium from gneiss, schist and granite, with a mantle of volcanic ash                                                    colluvium derived from schist and/or alluvium derived from graphitic schist and/or residuum weathered f",80,1
67821,"residuum, colluvium and slope alluvium from gneiss, schist and granodiorite mixed with volcanic ash and loess",50,1
67823,"residuum, colluvium and slope alluvium from gneiss, schist and granodiorite mixed with volcanic ash and loess",50,1
67830,residuum and colluvium from schist and gneiss mixed with loess and volcanic ash,85,1
67900,volcanic ash and pumice,80,1
67957,volcanic ash and pumice,80,1
67958,volcanic ash and pumice,80,1
67961,volcanic ash and pumice over colluvium from gneiss and schist,85,1
67996,colluvium and residuum weathered from sandstone,45,2
68014,colluvium from sandstone mixed with volcanic ash and loess,65,1
68062,volcanic ash over colluvium and residuum derived from schist and gneiss,55,1
68081,residuum and colluvium from sandstone mixed with minor amounts of loess and volcanic ash,75,1
68109,"residuum and colluvium from gneiss, schist and granodiorite mixed with volcanic ash",60,1
68563,loess and some ash,100,1
68632,outwash ssands,100,1
68639,loess,100,1
68647,loess,100,1
68668,loess over residuum weathered from granite,85,3
68674,volcanic ash and loess over outwash,85,5
68678,loess and residuum from basalt,90,1
68679,loess and residuum from basalt,50,1
68899,"loess, and colluvium and residuum derived from basalt",100,1
68935,"loess, and colluvium and residuum weathered from basalt",55,1
69028,"colluvium and residuum weathered from basalt, and minor amounts of loess and volcanic ash",100,1
69030,"colluvium and residuum weathered from basalt, and minor amounts of loess and volcanic ash",100,1
69032,"colluvium and residuum weathered from basalt, and minor amounts of loess and volcanic ash",100,1
69033,"colluvium and residuum weathered from basalt, and minor amounts of loess and volcanic ash",100,1
69049,loess and residuum weathered from sandstone,100,1
69670,loess and basalt residuum,60,1
69838,silty eolian deposits and basalt residuum,100,1
70063,volcanic ash over glacial till,100,1
70065,volcanic ash over glacial till,55,1
70067,volcanic ash over glacial outwash,100,1
70080,colluvium derived from siliceous rocks mixed with a component of volcanic ash and loess,40,3
70116,volcanic ash over glacial till derived from granite,100,1
70118,volcanic ash over glacial till derived from granite,55,1
70129,volcanic ash over glacial till,100,1
70133,volcanic ash over glacial till,100,1
70135,sandy glacial outwash,100,1
70138,volcanic ash over dense till,100,1
70139,volcanic ash over dense till,100,1
70147,volcanic ash over glacial till,100,1
70151,volcanic ash over glacial till,55,1
70157,"volcanic ash, coarse granitic colluvium and glacial till",55,2
70173,sandy glacial outwash derived from granite mixed with a component of volcanic ash and loess,100,1
70175,glacial till,100,1
70192,volcanic ash over glacial till andcolluvium derived from granite,100,1
70195,alluvium,95,2
70197,volcanic ash and glacial outwash,100,1
70204,residuum weathered from andesite mixed with glacial till and volcanic ash,55,1
70216,colluvium derived from granite and gneiss mixed with a component of loess,55,1
70224,sandy glacial outwash,50,2
